#t/Tc	(Rf-Ro)/Ro	r085	#t/Tc	(Rf-Ro)/Ro	r09	#t/Tc	(Rf-Ro)/Ro	r075	#t/Tc	(Rf-Ro)/Ro	r08
1.5562818453	10.4817593585	10.5292023003	1.5562802876	10.2589311272	10.3875715519	1.5562969036	10.6805853075	10.8346619295	1.5562839223	10.7953441675	11.0366892677
1.5699334292	10.3496737495	10.6015594707	1.5699318578	10.33951995	10.4575805059	1.5699486197	10.8717566151	10.9078779584	1.5699355244	10.6470031561	11.1103004487
1.5835850131	10.4668180548	10.678097935	1.5835834281	10.4693468222	10.5262743436	1.5836003357	10.939903978	10.9768167896	1.5835871266	11.0985593436	11.1798143471
1.5972365971	10.3105349003	10.752793592	1.5972349983	10.5458561612	10.5949561894	1.5972520517	10.8389699792	11.0397395626	1.5972387287	10.9549220425	11.2474654809
1.610888181	10.5160859229	10.8257863511	1.6108865686	10.3660986482	10.6624908062	1.6109037677	10.967630503	11.097093984	1.6108903308	10.9951297584	11.3161958989
1.6245397649	10.6235816371	10.8946657723	1.6245381388	10.552457799	10.7306689904	1.6245554837	10.8293061283	11.1475169469	1.624541933	11.3003505165	11.3955712571
1.6381913488	10.6287062	10.9595397859	1.6381897091	10.419632366	10.7993148604	1.6382071997	11.1371201964	11.1889418053	1.6381935351	11.1664569012	11.4682790373
1.6518429327	10.6955296996	11.0202165159	1.6518412793	10.5396508618	10.8679287519	1.6518589157	10.9997285795	11.2250101733	1.6518451372	11.4441399376	11.5350907278
1.6654945166	10.6269566422	11.0782309689	1.6654928496	10.726062057	10.9320576573	1.6655106317	11.1220079192	11.2630652397	1.6654967394	11.17879063	11.594051625
1.6791463564	10.7559915349	11.1323399496	1.6791446757	10.6886260867	10.9876363084	1.6791626035	11.1534814884	11.3056373464	1.6791485973	11.4466098859	11.6492909902
1.6927979403	10.8471887369	11.1842983221	1.6927962459	10.6586444824	11.0506459659	1.6928143195	11.3139238317	11.3495325862	1.6928001995	11.2395425512	11.7016082934
1.7064495242	11.1779712656	11.2333385833	1.7064478162	10.8726072066	11.1101180007	1.7064660355	11.358524065	11.3938435537	1.7064518016	11.738680271	11.7592980335
1.7201011081	11.1772706418	11.280815856	1.7200993864	10.7062251162	11.1691063605	1.7201177515	11.3680397955	11.4353283729	1.7201034037	11.7914619052	11.8106319889
1.733752692	11.1815544561	11.3279653408	1.7337509567	10.8847776001	11.2269115155	1.7337694675	11.3296886391	11.4952970814	1.7337550059	11.8377143891	11.8589919166
1.747404276	11.2813913509	11.3752507377	1.7474025269	11.0405266097	11.2827220108	1.7474211836	11.4548983594	11.5570925929	1.747406608	11.350578136	11.9057249232
1.7610558599	11.370618799	11.4224681786	1.7610540972	11.0710326619	11.3354305906	1.7610728996	11.3865108014	11.6183644476	1.7610582101	11.9214804638	11.9509709161
1.7747074438	10.4284558971	11.4692578963	1.7747056674	11.096482396	11.3845815612	1.7747246156	11.5475416228	11.6773338109	1.7747098123	11.5163248771	11.9932628681
1.7883590277	11.4593097694	11.5151881702	1.7883572377	11.3011371711	11.431965719	1.7883763316	11.2315529136	11.7320259766	1.7883614144	11.7785597279	12.0336241005
1.8020106116	11.3188607136	11.5595834376	1.8020088079	11.1536712352	11.4779748009	1.8020280476	11.4908115353	11.7905196515	1.8020130165	11.6007955075	12.0686608641
1.8156621955	10.557718993	11.6006128833	1.8156603782	10.9698022111	11.5214295993	1.8156797636	11.537577528	11.8488894077	1.8156646187	11.7660578664	12.0978854823
1.8293137794	10.887064242	11.6370373095	1.8293119484	11.1159950598	11.5622141921	1.8293314796	11.2526620627	11.8989126324	1.8293162208	12.0637326723	12.1296324278
1.8429653633	11.3065977947	11.6700759269	1.8429635187	11.1551004558	11.600912187	1.8429831956	11.489030088	11.9430237309	1.8429678229	11.8752119672	12.1728077939
1.8566169473	11.4249031338	11.7057328497	1.8566150889	11.2286632784	11.6370239199	1.8566349116	11.9303245957	11.9816983912	1.8566194251	12.0681081237	12.2142323211
1.8702685312	11.5777632404	11.7416735889	1.8702666592	11.1242140788	11.6712369288	1.8702866276	11.7980091026	12.0136574516	1.8702710272	12.0976514274	12.2536901527
1.8839201151	11.6128905177	11.7738047935	1.8839182294	11.3262906522	11.7028836622	1.8839383436	11.5962491928	12.0400921316	1.8839226293	12.3127330839	12.2934158066
1.897571699	11.8157111092	11.8008872658	1.8975697996	11.310577233	11.7321999616	1.8975900596	11.5523895613	12.0621256952	1.8975742315	12.3570320269	12.3376504702
1.9112232829	11.1465192607	11.8328865558	1.9112213699	11.7681840292	11.7587021522	1.9112417756	11.9693122693	12.0803737391	1.9112258336	12.1627507778	12.376984384
1.9248748668	11.2590674737	11.8686953803	1.9248729401	11.6810135856	11.7832136804	1.9248934916	11.5384862662	12.0943166038	1.9248774357	11.9828648838	12.4125008294
1.9385264507	11.6492949322	11.9011623677	1.9385245104	11.8121095415	11.8165872534	1.9385452076	12.0689652274	12.105201472	1.9385290378	12.1285117701	12.4420652223
1.9521780346	11.7795789371	11.9282368451	1.9521760806	11.8222461983	11.8459914937	1.9521969236	11.4401343652	12.1152109138	1.95218064	12.2464608083	12.46601334
1.9658296186	11.6798541421	11.9506463417	1.9658276509	11.8296765438	11.8729413834	1.9658486396	11.5529420101	12.1209631449	1.9658322421	12.2718288186	12.4855883578
1.9794814583	11.6926655494	11.9692503012	1.979479477	11.8352372926	11.89711314	1.9795006115	12.087908617	12.1241210759	1.9794841001	12.1344564593	12.5014778199
1.9931330422	11.8172004353	11.9843964986	1.9931310472	11.5221979571	11.9162163026	1.9931523275	11.6437237612	12.1247686516	1.9931357022	11.8725458642	12.5144891908
2.0067846261	11.8554905288	11.996308789	2.0067826175	10.6049786518	11.9328811039	2.0068040435	11.599631941	12.124804628	2.0067873044	12.2002043212	12.547471317
2.0204362101	11.8650710593	12.0051470688	2.0204341877	11.8405938672	11.9472794282	2.0204557595	12.0963114434	12.1330592196	2.0204389065	12.3690495063	12.5860097583
2.034087794	11.8731062138	12.0115829035	2.034085758	11.7356842744	11.9602147357	2.0341074755	12.1197264658	12.1563559556	2.0340905086	12.0748814665	12.6169492393
2.0477393779	11.8832832754	12.0166636153	2.0477373282	11.6501031881	11.9676497394	2.0477591915	12.1430454101	12.1795847361	2.0477421108	12.0037453543	12.635824721
2.0613909618	11.7019057769	12.0203732145	2.0613888985	11.3850528351	11.9691567267	2.0614109075	11.7186926659	12.2011625983	2.0613937129	12.3710190598	12.6497954557
2.0750425457	11.7307474575	12.0224878459	2.0750404687	11.4070556255	11.9691567267	2.0750626235	11.7286967933	12.2218290576	2.075045315	12.5774138641	12.6598967565
2.0886941296	11.8443085724	12.0231514164	2.088692039	11.8489970435	11.9776989863	2.0887143395	11.6667704843	12.2414761848	2.0886969172	12.6690021089	12.6677275631
2.1023457135	11.8443085724	12.0239429042	2.1023436092	11.3599473951	12.0195468645	2.1023660555	11.667018686	12.2605476892	2.1023485193	12.6867200848	12.6726722837
2.1159972974	12.0463845008	12.0263373545	2.1159951795	11.8480282161	12.0578651146	2.1160177715	11.8826338517	12.2805505833	2.1160001214	12.7057110649	12.6858235618
2.1296488814	11.9514519728	12.0318777687	2.1296467497	11.8097595346	12.092377922	2.1296694875	11.783048949	12.3001337524	2.1296517235	12.6446108691	12.7041234253
2.1433004653	12.0549361151	12.0348758284	2.14329832	11.8855442548	12.1233730933	2.1433212035	11.88271792	12.3164390691	2.1433033257	12.6502873467	12.7198410014
2.1569520492	12.0561692131	12.0361070315	2.1569498902	11.7399278984	12.1502830098	2.1569729195	11.6994690487	12.3283352747	2.1569549278	12.3830245297	12.7343913517
2.1706036331	12.0578827388	12.0378179242	2.1706014605	11.7402842027	12.1723321928	2.1706246355	11.8252031951	12.3362420942	2.1706065299	12.6525131023	12.7471349001
2.184255217	12.0591278474	12.0390611196	2.1842530307	12.0198309356	12.1872581625	2.1842763515	11.8833704502	12.3407791215	2.1842581321	12.4046656002	12.7576319385
2.1979068009	12.059968596	12.0399005763	2.197904601	12.0241866554	12.1959483227	2.1979280675	11.8552716227	12.3428177858	2.1979097342	12.3377968542	12.7640556783
2.2115583848	12.060272867	12.0402043797	2.2115561712	12.02549177	12.2037550766	2.2115797835	11.8588225074	12.3430776155	2.2115613363	12.422303513	12.7689524307
2.2252099687	12.0604650381	12.0403962555	2.2252077415	11.8480322195	12.2094832273	2.2252314995	11.8602396587	12.3430776155	2.2252129385	12.3822719361	12.773525398
2.2388615527	12.0620024069	12.0419312621	2.2388593117	11.8520516521	12.21151786	2.2388832155	11.8585823123	12.3430776155	2.2388645406	12.7942248846	12.7742089446
